Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,ParentLocationCode,ParentLocation,TimeDimension,TimeDim,DisaggregatingDimension1,DisaggregatingDimension1ValueCode,DisaggregatingDimension2,DisaggregatingDimension2ValueCode,DisaggregatingDimension3,DisaggregatingDimension3ValueCode,DataSourceDimension,DataSourceDimensionValueCode,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
1309675,SDGSUICIDE,GLOBAL,GLOBAL,,,YEAR,2016,SEX,SEX_BTSX,AGEGROUP,AGEGROUP_YEARSALL,,,,,9.6 [7.6-11.6],9.64478,7.63473,11.64628,,2025-01-10T10:52:31Z,2016,2016-01-01,2016-12-31
1311692,SDGSUICIDE,COUNTRY,TJK,EUR,Europe,YEAR,2019,SEX,SEX_BTSX,AGEGROUP,AGEGROUP_YEARS15-29,,,,,5.4,5.44,,,,2021-07-16T09:22:30Z,2019,2019-01-01,2019-12-31
1311941,SDGSUICIDE,COUNTRY,MRT,AFR,Africa,YEAR,2019,SEX,SEX_FMLE,AGEGROUP,AGEGROUP_YEARS65-74,,,,,18.8,18.78,,,,2021-07-06T14:15:45Z,2019,2019-01-01,2019-12-31
1312300,SDGSUICIDE,COUNTRY,GUY,AMR,Americas,YEAR,2007,SEX,SEX_BTSX,AGEGROUP,AGEGROUP_YEARSALL,,,,,26.9 [22.0-32.1],26.87388,22.03908,32.12522,,2025-01-10T10:52:31Z,2007,2007-01-01,2007-12-31
1313603,SDGSUICIDE,COUNTRY,MWI,AFR,Africa,YEAR,2019,SEX,SEX_BTSX,AGEGROUP,AGEGROUP_YEARS45-54,,,,,14.3,14.32,,,,2021-07-06T14:15:05Z,2019,2019-01-01,2019-12-31
601,SDGSUICIDE,COUNTRY,TUR,EUR,Europe,YEAR,2018,SEX,SEX_FMLE,AGEGROUP,AGEGROUP_YEARSALL,,,,,1.4 [0.9-1.9],1.41546,0.87874,1.85881,,2025-01-10T10:52:31Z,2018,2018-01-01,2018-12-31
614,SDGSUICIDE,COUNTRY,PRK,SEAR,South-East Asia,YEAR,2014,SEX,SEX_FMLE,AGEGROUP,AGEGROUP_YEARSALL,,,,,9.0 [4.8-17.0],8.97194,4.83693,17.02164,,2025-01-10T10:52:31Z,2014,2014-01-01,2014-12-31
762,SDGSUICIDE,COUNTRY,GRD,AMR,Americas,YEAR,2006,SEX,SEX_BTSX,AGEGROUP,AGEGROUP_YEARSALL,,,,,6.3 [5.1-7.5],6.34072,5.14753,7.54522,,2025-01-10T10:52:31Z,2006,2006-01-01,2006-12-31
906,SDGSUICIDE,COUNTRY,IND,SEAR,South-East Asia,YEAR,2019,SEX,SEX_BTSX,AGEGROUP,AGEGROUP_YEARS55-64,,,,,16.3,16.26,,,,2021-07-06T14:15:21Z,2019,2019-01-01,2019-12-31
1147,SDGSUICIDE,COUNTRY,NPL,SEAR,South-East Asia,YEAR,2012,SEX,SEX_FMLE,AGEGROUP,AGEGROUP_YEARSALL,,,,,7.7 [4.2-12.2],7.73106,4.2274,12.2369,,2025-01-10T10:52:31Z,2012,2012-01-01,2012-12-31
