SpatialDimensionValueCode,TimeDim,NumericValue
GUY,2007,26.87388
GRD,2006,6.34072
IND,2017,14.86996
COG,2000,12.04382
BOL,2003,6.40855
CAF,2014,11.23381
SYC,2020,6.61203
CZE,2005,15.88425
PHL,2007,2.33894
NER,2006,4.00665
LBR,2019,5.87271
NER,2017,4.4995
WSM,2012,11.88414
RUS,2000,53.05821
NER,2010,4.13454
SYR,2011,0.59693
BEN,2000,6.69739
DJI,2004,6.58411
BGD,2013,3.02204
WB_LI,2017,6.28195
GMB,2018,4.90718
CAF,2005,10.74745
MYS,2001,4.24652
ROU,2008,11.69771
BRN,2008,1.63862
BRB,2008,4.58142
PHL,2005,2.39777
KIR,2015,20.26919
BRB,2017,3.90486
MKD,2009,7.70915
BRA,2008,5.4103
NIC,2008,5.9338
ARG,2020,8.1218
BLR,2010,34.16435
URY,2016,21.27741
ECU,2009,8.51268
HTI,2008,7.77522
GRC,2020,4.42128
LUX,2008,13.02526
GUY,2019,27.63678
GRD,2011,1.73632
GRD,2013,1.37703
NLD,2018,11.27898
WSM,2007,10.96182
LBR,2010,5.79656
JPN,2017,17.18637
KAZ,2004,37.15552
NPL,2019,10.55694
BRN,2009,1.32494
NOR,2014,11.21858
KAZ,2019,18.79648
DNK,2014,11.96759
MDV,2009,2.77505
BEL,2019,18.1104
GRC,2013,4.92821
GHA,2021,5.31674
GBR,2009,7.94318
SRB,2009,20.94279
WB_LMI,2010,10.52294
LBY,2018,6.4872
PAN,2017,3.02988
BDI,2003,9.36143
SOM,2007,8.21681
JPN,2007,25.18944
AGO,2012,6.79033
COM,2008,5.98458
YEM,2017,4.73069
IND,2011,15.8515
AZE,2000,2.47562
RWA,2018,8.12024
NGA,2012,4.80876
PRT,2005,11.31183
KHM,2020,4.33209
ISR,2012,6.02593
SWZ,2008,19.48466
LVA,2001,32.29328
JAM,2003,0.87941
GAB,2020,7.42438
ATG,2002,1.38015
CZE,2016,13.03289
NIC,2006,5.53554
YEM,2009,5.32235
ARG,2006,8.61028
FJI,2006,9.14473
MMR,2010,3.28665
GRD,2004,5.6155
ZMB,2001,6.62811
TKM,2015,7.54551
ARG,2011,8.62889
JPN,2021,17.43069
ZWE,2002,13.98509
WPR,2017,9.24368
TGO,2021,9.3404
UZB,2004,12.99641
IND,2018,14.31066
CAF,2003,11.32143
AUT,2000,19.75339
LSO,2021,28.66132
EMR,2009,4.3407
BRN,2012,1.61254
MDV,2010,2.71265
NER,2011,4.27352
JOR,2020,0.66113
RWA,2019,8.2857
SYC,2013,7.37936
KEN,2002,4.74532
NOR,2012,10.98259
PAN,2016,3.0949
PRY,2012,5.33195
BIH,2003,10.57336
MUS,2007,10.67822
ROU,2004,12.66141
KIR,2016,20.71162
BDI,2007,7.66903
GRD,2017,0.46767
TON,2018,4.72266
MDV,2007,2.65446
ARG,2000,9.16712
BGD,2001,4.66727
PSE,2006,0.58588
CIV,2009,6.68005
AZE,2021,1.55886
MNE,2007,14.70522
LTU,2011,38.31856
MYS,2004,4.3729
MLI,2008,4.12896
CUB,2013,13.91141
SRB,2021,15.14375
USA,2009,12.81935
CMR,2006,7.867
BFA,2021,8.49869
PRK,2002,8.50497
SLE,2012,5.85931
JAM,2019,1.68756
AFG,2009,3.66025
CHN,2016,8.64643
MEX,2002,4.00473
PER,2000,1.03733
LCA,2016,7.44038
KWT,2018,1.81291
EMR,2017,4.00252
IRL,2002,11.97068
PAK,2008,6.86471
KHM,2007,4.54371
BHR,2003,10.4627
UKR,2010,24.74637
NGA,2008,5.12899
MKD,2001,9.9584
GIN,2018,4.97705
IND,2020,13.01168
BEL,2009,20.56384
EMR,2005,4.49054
DNK,2004,14.37172
TUN,2004,3.07527
ECU,2006,7.75214
LUX,2002,15.14166
MEX,2011,5.25541
WB_LMI,2009,10.45953
ISL,2021,11.90903
MKD,2019,5.01671
ALB,2014,4.25204
VCT,2014,1.23586
TKM,2000,10.35787
SUR,2021,22.26341
ISL,2007,15.46237
ROU,2017,10.09983
DEU,2009,12.73967
WB_LMI,2020,8.70765
MLI,2006,3.94227
KAZ,2007,34.78676
LUX,2010,11.68707
YEM,2011,4.97581
MMR,2016,3.10042
LVA,2000,34.82475
ZMB,2002,6.73618
BFA,2004,8.68672
SVN,2005,26.94539
UGA,2003,6.84252
CZE,2013,15.65171
DNK,2009,12.71011
CZE,2006,14.56391
MDG,2000,5.8102
MEX,2013,5.212
PRI,2011,6.73528
IND,2005,15.67832
BRA,2015,6.10835
AFG,2001,4.38303
