SpatialDimensionValueCode,TimeDim,NumericValue
AFG,2000,4.35615
AFG,2001,4.38303
AFG,2002,4.255
AFG,2003,4.23829
AFG,2004,4.23198
AFG,2005,4.15528
AFG,2006,4.01697
AFG,2007,3.95192
AFG,2008,3.86412
AFG,2009,3.66025
AFG,2010,3.58878
AFG,2011,3.68337
AFG,2012,3.63912
AFG,2013,3.61291
AFG,2014,3.54102
AFG,2015,3.46069
AFG,2016,3.46679
AFG,2017,3.55563
AFG,2018,3.55774
AFG,2019,3.52831
AFG,2020,3.49391
AFG,2021,3.59542
AFR,2000,6.92466
AFR,2001,6.87295
AFR,2002,6.8994
AFR,2003,6.92195
AFR,2004,6.87907
AFR,2005,6.7449
AFR,2006,6.77868
AFR,2007,6.75118
AFR,2008,6.78011
AFR,2009,6.75332
AFR,2010,6.94396
AFR,2011,6.83202
AFR,2012,6.78866
AFR,2013,6.76462
AFR,2014,6.79859
AFR,2015,6.82011
AFR,2016,6.78454
AFR,2017,6.73872
AFR,2018,6.92691
AFR,2019,6.97111
AFR,2020,6.89585
AFR,2021,7.26929
AGO,2000,9.11515
AGO,2001,8.47953
AGO,2002,8.23169
AGO,2003,8.8836
AGO,2004,8.91894
AGO,2005,8.32302
AGO,2006,8.58974
AGO,2007,7.99588
AGO,2008,7.50081
AGO,2009,7.24214
AGO,2010,6.89468
AGO,2011,6.95112
AGO,2012,6.79033
AGO,2013,6.87989
AGO,2014,6.36027
AGO,2015,6.55582
AGO,2016,6.48586
AGO,2017,6.4693
AGO,2018,7.15116
AGO,2019,7.52046
AGO,2020,7.40921
AGO,2021,8.11378
ALB,2000,4.7805
ALB,2001,4.19208
ALB,2002,4.28382
ALB,2003,4.46889
ALB,2004,4.44481
ALB,2005,6.79668
ALB,2006,6.88227
ALB,2007,7.02967
ALB,2008,7.09477
ALB,2009,7.01951
ALB,2010,6.76582
ALB,2011,6.91202
ALB,2012,4.49102
ALB,2013,4.4986
ALB,2014,4.25204
ALB,2015,4.13076
ALB,2016,4.02533
ALB,2017,3.91351
ALB,2018,3.82535
ALB,2019,3.78342
ALB,2020,3.35507
ALB,2021,2.7547
AMR,2000,7.64527
AMR,2001,7.92333
AMR,2002,7.97581
AMR,2003,7.94344
AMR,2004,7.94691
AMR,2005,7.94195
AMR,2006,7.91831
AMR,2007,8.07547
AMR,2008,8.30933
AMR,2009,8.40106
AMR,2010,8.43598
AMR,2011,8.6609
AMR,2012,8.76163
AMR,2013,8.74223
AMR,2014,9.03268
